account,name,link
@dario@vis.social,Dario Rodighiero,https://vis.social/@dario
@tino@hci.social,Tino Tini,https://hci.social/@tino
@kirkjalbert@indieweb.social,Kirk Jalbert,https://indieweb.social/@kirkjalbert
@ChriHan@scicomm.xyz,Christine Hanke,https://scicomm.xyz/@ChriHan
@joseacanada@mastodont.cat,Jose A. Cañada,https://mastodont.cat/@joseacanada
@helenasheehan@mastodon.ie,Helena Sheehan,https://mastodon.ie/web/@HelenaSheehan
@ignaciofarias@assemblag.es,Ignacio Farias,https://assemblag.es/@ignaciofarias
@OpenEd@mastodon.bida.im,Marisa Ponti,https://mastodon.bida.im/@OpenEd
@leotanczt@mastodon.social,Leonie Tanczer,https://mastodon.social/@leotanczt
@Jaq@aus.social,Jacqulyn Evans,https://aus.social/@Jaq
@jhpassoth@mastodon.social,Jan-Hendrik Passoth,https://mastodon.social/@jhpassoth
@courtney@journa.social,Courtney Radsch,https://journa.host/web/@courtney
@Maudbo@mstdn.social,Maud Borie,https://mstdn.social/@Maudbo
@LordElend@fediscience.org,Arne Maibaum,https://fediscience.org/web/@LordElend
@miaharrison@aus.social,Mia Harrison,https://aus.social/@miaharrison
@srhamilton@mastodon.social,Sarah Hamilton,https://mastodon.social/@srhamilton
@ahayes@mastdn.party,Adam Hayes,https://mstdn.party/@ahayes
@jul_ie_m@mastodon.social,Julie Mewes,https://mastodon.social/@jul_ie_m
@tomhargreaves@sciences.social,Tom Hargreaves,https://sciences.social/@tomhargreaves
@mcforelle@sciences.social,MC Forelle,https://sciences.social/@mcforelle
@juliusschaxel@zirk.us,Christian Reiss,https://zirk.us/@juliusschaxel
@ghostinage@mastodon.lol,Jason Ānanda Josephson Storm,https://mastodon.lol/@ghostimage
@emmakowal@aus.social,Emma Kowal,https://aus.social/@emmakowal
@jaimekirtz@mstdn.social,Jaime Lee Kirtz,https://mstdn.social/@jaimekirtz
@dorubio@hcommons.social,Fernando Domínguez Rubio,https://hcommons.social/web/@dorubio
@elouson@home.social,Eleanor Louson,https://home.social/@elouson
@kirkomaso@oslo.town,Mingyuan Zhang,https://oslo.town/@Kirkomaso
@cazaschuster@mastodon.lol,Caroline E. Schuster,https://mastodon.lol/@cazaschuster
@anotherwindle@mastodon.world,Amanda Windle,https://mastodon.world/@anotherwindle
@DanielBreslau@sciences.social,Daniel Breslau,https://sciences.social/@danielbreslau
@akvbroek@assemblag.es,Angela K. VandenBroek,https://assemblag.es/@akvbroek
@bksutherland@glasgow.social,Brian Sutherland,https://glasgow.social/@bksutherland
@schrisomalis@mastodon.online,Stephen Chrisomalis,https://mastodon.online/@schrisomalis
@yung@scholar.social,Yung Au,https://scholar.social/@yung
@dakolkman@mastodon.social,Daan Koklkman,https://mastodon.social/@dakolkman
